,Rk,Year,Player,Pos,AV,School,College,HE ,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
75,76,2010,Travis Goethel,LB,1.0,Arizona State,College Stats,2-Jun,6'2,240,4.81,35.0,21.0,111.0,6.93,4.54,Oakland Raiders / 6th / 190th pick / 2010
76,77,2010,Phillip Dillard,LB,0.0,Nebraska,College Stats,Jun-00,6'1,245,4.65,31.5,,106.0,7.16,4.43,New York Giants / 4th / 115th pick / 2010
77,78,2010,Jamar Chaney,LB,13.0,Mississippi State,College Stats,1-Jun,6'1,242,4.54,39.0,26.0,124.0,6.9,4.29,Philadelphia Eagles / 7th / 220th pick / 2010
78,79,2010,Donald Butler,LB,33.0,Washington,College Stats,1-Jun,6'1,245,4.61,,35.0,,,,San Diego Chargers / 3rd / 79th pick / 2010
79,80,2010,Pat Angerer,LB,18.0,Iowa,College Stats,Jun-00,6'1,235,4.71,35.0,26.0,110.0,7.04,4.29,Indianapolis Colts / 2nd / 63rd pick / 2010
80,81,2010,Jason Beauchamp,LB,,UNLV,College Stats,3-Jun,6'3,244,4.89,39.5,21.0,120.0,7.1,,
81,82,2010,Lee Campbell,LB,,Minnesota,College Stats,2-Jun,6'2,247,4.88,34.0,17.0,108.0,7.27,4.4,
82,83,2010,Boris Lee,LB,,Troy,College Stats,Jun-00,6'1,238,4.94,32.5,27.0,112.0,,,
83,84,2010,Mike McLaughlin,LB,,Boston College,College Stats,Jun-00,6'1,242,4.84,38.5,29.0,114.0,6.85,4.11,
84,1,2015,Tony Washington,LB,,Oregon,College Stats,4-Jun,6'4,247,4.99,32.5,17,110,7.2,4.31,
85,2,2015,Max Valles,LB,,Virginia,College Stats,5-Jun,6'5,251,4.83,36.5,,121,7.59,4.37,Oakland Raiders / 6th / 179th pick / 2015
86,3,2015,Davis Tull,LB,,Chattanooga,,2-Jun,6'2,246,4.57,42.5,26,132,,,New Orleans Saints / 5th / 148th pick / 2015
87,4,2015,Shaq Thompson,LB,22,Washington,College Stats,Jun-00,6'1,228,4.64,33.5,,117,6.99,4.08,Carolina Panthers / 1st / 25th pick / 2015
88,5,2015,J.R. Tavai,LB,0,Southern California,College Stats,2-Jun,6'2,249,4.91,30.5,20,112,,,
89,6,2015,Jake Ryan,LB,15,Michigan,College Stats,2-Jun,6'2,240,4.65,34.5,20,120,7.11,4.2,Green Bay Packers / 4th / 129th pick / 2015
90,7,2015,Edmond Robinson,LB,2,Newberry,,3-Jun,6'3,245,4.61,37,20,121,7.49,4.38,Minnesota Vikings / 7th / 232nd pick / 2015
91,8,2015,Mark Nzeocha,LB,3,Wyoming,College Stats,2-Jun,6'2,232,4.56,,24,,,,Dallas Cowboys / 7th / 236th pick / 2015
92,9,2015,Lorenzo Mauldin,LB,4,Louisville,College Stats,4-Jun,6'4,259,4.85,32,23,112,7.47,4.58,New York Jets / 3rd / 82nd pick / 2015
93,10,2015,Hau'oli Kikaha,LB,5,Washington,College Stats,2-Jun,6'2,253,4.93,,,,,,New Orleans Saints / 2nd / 44th pick / 2015
94,11,2015,Mike Hull,LB,5,Penn State,College Stats,Jun-00,6'1,237,4.68,,31,,6.99,4.15,
95,12,2015,Jordan Hicks,LB,22,Texas,College Stats,1-Jun,6'1,236,4.68,38,20,124,6.78,4.15,Philadelphia Eagles / 3rd / 84th pick / 2015
96,13,2015,Eli Harold,LB,13,Virginia,College Stats,3-Jun,6'3,247,4.6,35,,123,7.07,4.16,San Francisco 49ers / 3rd / 79th pick / 2015
97,14,2015,Geneo Grissom,LB,3,Oklahoma,College Stats,3-Jun,6'3,262,4.81,37,20,117,7.24,4.38,New England Patriots / 3rd / 97th pick / 2015
98,15,2015,Markus Golden,LB,15,Missouri,College Stats,2-Jun,6'2,260,4.9,,,,,,Arizona Cardinals / 2nd / 58th pick / 2015
99,16,2015,Alani Fua,LB,2,BYU,College Stats,5-Jun,6'5,238,4.73,34.5,18,118,6.83,4.15,
100,17,2015,Kyle Emanuel,LB,18,North Dakota State,,3-Jun,6'3,255,4.77,34,27,120,7.1,4.25,San Diego Chargers / 5th / 153rd pick / 2015
101,18,2015,Xzavier Dickson,LB,,Alabama,College Stats,3-Jun,6'3,260,4.74,29.5,19,100,7.56,4.53,New England Patriots / 7th / 253rd pick / 2015
102,19,2015,Aaron Davis,LB,,Colorado State,College Stats,Jun-00,6'1,225,4.95,29,16,107,7.38,4.37,
103,20,2015,Vic Beasley,LB,28,Clemson,College Stats,3-Jun,6'3,246,4.53,41,35,130,6.91,4.15,Atlanta Falcons / 1st / 8th pick / 2015
104,21,2015,Neiron Ball,LB,1,Florida,College Stats,2-Jun,6'2,236,4.65,,22,,,,Oakland Raiders / 5th / 161st pick / 2015
105,22,2015,Kwon Alexander,LB,25,LSU,College Stats,1-Jun,6'1,227,4.55,36,24,121,7.14,4.2,Tampa Bay Buccaneers / 4th / 124th pick / 2015
106,23,2015,Yannick Cudjoe-Virgil,LB,,Maryland,,2-Jun,6'2,248,4.8,,25,,,,
107,24,2015,Dante Fowler,LB,,Florida,,3-Jun,6'3,261,4.6,32.5,19,112,7.4,4.32,
108,25,2015,Zack Hodges,LB,,Harvard,,2-Jun,6'2,250,4.68,33.5,,125,,4.65,
109,26,2014,Jordan Zumwalt,LB,,UCLA,College Stats,4-Jun,6'4,235,4.76,33,,116,6.99,4.25,Pittsburgh Steelers / 6th / 192nd pick / 2014
110,27,2014,Kyle Van Noy,LB,24,BYU,College Stats,3-Jun,6'3,243,4.71,32.5,21,112,7.22,4.2,Detroit Lions / 2nd / 40th pick / 2014
111,28,2014,Jordan Tripp,LB,3,Montana,,3-Jun,6'3,234,4.67,37.5,22,120,6.89,3.96,Miami Dolphins / 5th / 171st pick / 2014
